label_n,label_m,COUNT(r)
"""Disease""","""Disease""",32646
"""Experimental_factor""","""Disease""",2122
"""Modified_protein""","""Disease""",2121
"""Protein""","""Disease""",7082494
"""Clinically_relevant_variant""","""Disease""",4555
"""Publication""","""Disease""",55529028
"""Metabolite""","""Disease""",24158
"""Project""","""Disease""",7
"""Tissue""","""Tissue""",8626
"""Protein""","""Tissue""",6529475
"""Publication""","""Tissue""",102869858
"""Project""","""Tissue""",7
"""Biological_process""","""Biological_process""",111474
"""Protein""","""Biological_process""",158067
"""Complex""","""Biological_process""",4770
"""Modified_protein""","""Biological_process""",13216
"""Molecular_function""","""Molecular_function""",29634
"""Protein""","""Molecular_function""",80319
"""Cellular_component""","""Cellular_component""",10188
"""Protein""","""Cellular_component""",3660177
"""Publication""","""Cellular_component""",43839377
"""Modification""","""Modification""",7138
"""Modified_protein""","""Modification""",410381
"""Phenotype""","""Phenotype""",45900
"""Experimental_factor""","""Phenotype""",254
"""Experiment""","""Experiment""",6934
"""Disease""","""Experimental_factor""",2122
"""GWAS_study""","""Experimental_factor""",9250
"""Experimental_factor""","""Experimental_factor""",36070
"""Clinical_variable""","""Experimental_factor""",1208
"""Phenotype""","""Experimental_factor""",254
"""Units""","""Units""",824
"""Transcript""","""Chromosome""",295912
"""Known_variant""","""Chromosome""",10630108
"""Transcript""","""Gene""",258487
"""Protein""","""Gene""",172019
"""Known_variant""","""Gene""",10638935
"""Drug""","""Gene""",20730
"""Gene""","""Transcript""",258487
"""Chromosome""","""Transcript""",295912
"""Protein""","""Transcript""",202275
"""Peptide""","""Protein""",3629058
"""Transcript""","""Protein""",202275
"""Gene""","""Protein""",172019
"""Modified_protein""","""Protein""",405844
"""Known_variant""","""Protein""",26818166
"""Disease""","""Protein""",7082494
"""Protein_structure""","""Protein""",195640
"""Amino_acid_sequence""","""Protein""",20614
"""Cellular_component""","""Protein""",3660177
"""Tissue""","""Protein""",6529475
"""Molecular_function""","""Protein""",80319
"""Biological_process""","""Protein""",158067
"""Protein""","""Protein""",6486595
"""Drug""","""Protein""",426495
"""Publication""","""Protein""",26521954
"""Functional_region""","""Protein""",204244
"""Pathway""","""Protein""",354967
"""Analytical_sample""","""Protein""",797651
"""Metabolite""","""Protein""",861626
"""Complex""","""Protein""",10968
"""Protein""","""Amino_acid_sequence""",20614
"""Protein""","""Peptide""",3629058
"""Modified_protein""","""Peptide""",4280
"""Project""","""User""",14
"""Disease""","""Project""",7
"""Tissue""","""Project""",7
"""User""","""Project""",14
"""Subject""","""Project""",169
"""Biological_sample""","""Subject""",170
"""Project""","""Subject""",169
"""Analytical_sample""","""Biological_sample""",172
"""Subject""","""Biological_sample""",170
"""Biological_sample""","""Analytical_sample""",172
"""Protein""","""Analytical_sample""",797651
"""Modified_protein""","""Analytical_sample""",224478
"""Protein""","""Modified_protein""",405844
"""Modification""","""Modified_protein""",410381
"""Analytical_sample""","""Modified_protein""",224478
"""Biological_process""","""Modified_protein""",13216
"""Disease""","""Modified_protein""",2121
"""Peptide""","""Modified_protein""",4280
"""Clinical_variable""","""Clinical_variable""",5158856
"""Experimental_factor""","""Clinical_variable""",1208
"""Publication""","""Modified_protein""",194
"""Biological_process""","""Complex""",4770
"""Protein""","""Complex""",10968
"""Protein""","""Known_variant""",26818166
"""Gene""","""Known_variant""",10638935
"""Chromosome""","""Known_variant""",10630108
"""GWAS_study""","""Known_variant""",16128
"""Clinically_relevant_variant""","""Known_variant""",169
"""Drug""","""Clinically_relevant_variant""",12530
"""Disease""","""Clinically_relevant_variant""",4555
"""Known_variant""","""Clinically_relevant_variant""",169
"""Drug""","""Publication""",7493074
"""Disease""","""Publication""",55529028
"""Cellular_component""","""Publication""",43839377
"""Protein""","""Publication""",26521954
"""Tissue""","""Publication""",102869858
"""Functional_region""","""Publication""",2435
"""GWAS_study""","""Publication""",3939
"""Modified_protein""","""Publication""",194
"""Protein""","""Functional_region""",204244
"""Publication""","""Functional_region""",2435
"""Pathway""","""Metabolite""",848842
"""Disease""","""Metabolite""",24158
"""Protein""","""Metabolite""",861626
"""Protein""","""Protein_structure""",195640
"""Experimental_factor""","""GWAS_study""",9250
"""Known_variant""","""GWAS_study""",16128
"""Publication""","""GWAS_study""",3939
"""Metabolite""","""Pathway""",848842
"""Protein""","""Pathway""",354967
"""Protein""","""Drug""",426495
"""Publication""","""Drug""",7493074
"""Drug""","""Drug""",5679924
"""Gene""","""Drug""",20730
"""Clinically_relevant_variant""","""Drug""",12530